Transaction_ID,Guest_ID,Cabin_Number,Transaction_Date,Transaction_Time,Category,Description,Venue,Quantity,Unit_Price,Amount,Service_Charge,Total,Status,Reference_ID,Posted_By,Notes
TXN00000060,G100036,8920,2026-01-01,12:53:09,Dining,Specialty Dining Cover,The Steakhouse,2,65,130,23.4,153.4,Posted,DRES000281,System,
TXN00000164,G100165,5460,2026-01-01,17:03:39,Entertainment,Photo Package,Photo Studio,2,149,298,0,298,Posted,,System,
TXN00000170,G100068,7133,2026-01-01,19:41:50,Shopping,Logo T-Shirt,Gift Shop,2,34.99,69.98,0,69.98,Posted,,System,
TXN00000211,G100072,4270,2026-01-02,14:14:34,Entertainment,Casino Credits,Casino,1,50,50,0,50,Posted,,System,
TXN00000023,G100194,8639,2026-01-02,14:44:48,Communication,WiFi - Streaming Day,Guest Services,1,25,25,0,25,Posted,,System,
TXN00000111,G100045,4907,2026-01-02,19:09:26,Gratuity,Daily Gratuity,Auto-Charge,2,18,36,0,36,Posted,,System,2 guests
TXN00000189,G100028,4518,2026-01-02,20:51:18,Gratuity,Daily Gratuity,Auto-Charge,3,18,54,0,54,Posted,,System,3 guests
TXN00000012,G100176,5782,2026-01-03,06:03:30,Communication,WiFi - Social Day,Guest Services,3,15,45,0,45,Posted,,System,
TXN00000172,G100032,8538,2026-01-03,06:13:37,Shopping,Ship Model,Gift Shop,2,49.99,99.98,0,99.98,Posted,,System,
TXN00000029,G100059,4545,2026-01-03,07:00:13,Entertainment,Art Auction Piece,Art Gallery,3,350,1050,0,1050,Posted,,System,
TXN00000123,G100167,6513,2026-01-03,07:53:25,Shopping,Designer Watch,Luxury Boutique,1,299,299,0,299,Posted,,System,
TXN00000192,G100060,8721,2026-01-03,08:06:49,Spa,Mani-Pedi Combo,Serenity Spa,3,99,297,53.46,350.46,Posted,SPARES0064,System,
TXN00000002,G100169,7265,2026-01-03,09:15:56,Communication,WiFi - Social Day,Guest Services,1,15,15,0,15,Posted,,System,
TXN00000069,G100195,4581,2026-01-03,12:56:02,Communication,WiFi - Streaming Day,Guest Services,1,25,25,0,25,Posted,,System,
TXN00000145,G100087,6790,2026-01-03,13:13:04,Excursion,Shore Excursion Group,Shore Excursions,1,69,69,0,69,Posted,EXCBK00026,System,
TXN00000042,G100163,4242,2026-01-03,16:38:30,Gratuity,Daily Gratuity,Auto-Charge,1,18,18,0,18,Posted,,System,1 guests
TXN00000106,G100084,5943,2026-01-03,21:33:29,Shopping,Perfume,Duty Free,2,79,158,0,158,Posted,,System,
TXN00000041,G100163,4242,2026-01-04,08:39:38,Spa,Hot Stone Massage,Serenity Spa,1,209,209,37.62,246.62,Posted,SPARES0130,System,
TXN00000045,G100159,5380,2026-01-04,09:35:43,Spa,Swedish Massage,Serenity Spa,2,159,318,57.24,375.24,Posted,SPARES0099,System,
TXN00000007,G100071,5930,2026-01-04,12:04:53,Spa,Deep Tissue Massage,Serenity Spa,1,189,189,34.02,223.02,Posted,SPARES0196,System,
TXN00000147,G100030,5619,2026-01-04,13:52:58,Shopping,Gold Pendant,Jewelry Store,2,189,378,0,378,Posted,,System,
TXN00000146,G100030,5619,2026-01-04,20:14:34,Entertainment,Bingo Cards,Grand Theater,2,30,60,0,60,Posted,,System,
TXN00000137,G100066,5323,2026-01-04,22:26:29,Gratuity,Daily Gratuity,Auto-Charge,2,18,36,0,36,Posted,,System,2 guests
TXN00000087,G100009,5252,2026-01-05,08:28:29,Shopping,Sunscreen SPF 50,Sundries,3,14.99,44.97,0,44.97,Posted,,System,
TXN00000199,G100007,5388,2026-01-05,09:01:54,Communication,WiFi - Streaming Day,Guest Services,3,25,75,0,75,Posted,,System,
TXN00000066,G100025,5871,2026-01-05,09:49:37,Spa,Deep Tissue Massage,Serenity Spa,3,189,567,102.06,669.06,Posted,SPARES0189,System,
TXN00000190,G100028,4518,2026-01-05,10:40:19,Excursion,Shore Excursion Group,Shore Excursions,2,69,138,0,138,Posted,EXCBK00062,System,
TXN00000163,G100157,8814,2026-01-05,10:53:40,Beverage,Cocktail - Margarita,Pool Bar,2,14,28,5.04,33.04,Posted,,System,
TXN00000221,G100079,6675,2026-01-05,14:44:59,Dining,Specialty Dining Cover,Ocean Blue,3,59,177,31.86,208.86,Posted,DRES000450,System,
TXN00000032,G100192,4935,2026-01-05,19:01:29,Excursion,Shore Excursion Group,Shore Excursions,1,69,69,0,69,Posted,EXCBK00020,System,
TXN00000018,G100156,4676,2026-01-05,19:06:47,Dining,Specialty Dining Cover,The Steakhouse,1,65,65,11.7,76.7,Posted,DRES000379,System,
TXN00000001,G100169,7265,2026-01-05,19:07:08,Gratuity,Daily Gratuity,Auto-Charge,4,18,72,0,72,Pending,,System,4 guests
TXN00000154,G100037,7980,2026-01-05,23:13:30,Entertainment,Photo Package,Photo Studio,3,149,447,0,447,Posted,,System,
TXN00000014,G100191,5416,2026-01-05,23:45:20,Shopping,Sunscreen SPF 50,Sundries,3,14.99,44.97,0,44.97,Posted,,System,
TXN00000026,G100074,4806,2026-01-06,07:43:05,Beverage,Cocktail - Pina Colada,Pool Bar,1,14,14,2.52,16.52,Posted,,System,
TXN00000083,G100113,8936,2026-01-06,08:35:34,Spa,Hot Stone Massage,Serenity Spa,3,209,627,112.86,739.86,Posted,SPARES0075,System,
TXN00000091,G100094,6904,2026-01-06,10:10:42,Shopping,Gold Pendant,Jewelry Store,3,189,567,0,567,Posted,,System,
TXN00000100,G100024,5991,2026-01-06,13:13:37,Excursion,Shore Excursion Group,Shore Excursions,2,69,138,0,138,Pending,EXCBK00091,System,
TXN00000206,G100114,8873,2026-01-06,13:19:07,Shopping,Sunscreen SPF 50,Sundries,1,14.99,14.99,0,14.99,Posted,,System,
TXN00000168,G100068,7133,2026-01-06,13:44:14,Spa,Facial Treatment,Serenity Spa,2,199,398,71.64,469.64,Posted,SPARES0077,System,
TXN00000058,G100175,6576,2026-01-06,16:59:06,Spa,Deep Tissue Massage,Serenity Spa,1,189,189,34.02,223.02,Posted,SPARES0183,System,
TXN00000169,G100068,7133,2026-01-06,18:24:35,Beverage,Cocktail - Mojito,Pool Bar,2,14,28,5.04,33.04,Posted,,System,
TXN00000025,G100128,5078,2026-01-06,20:21:10,Entertainment,Art Auction Piece,Art Gallery,2,350,700,0,700,Posted,,System,
TXN00000086,G100009,5252,2026-01-06,21:33:26,Dining,Specialty Dining Cover,Le Bistro,2,49,98,17.64,115.64,Posted,DRES000394,System,
TXN00000064,G100161,5204,2026-01-06,23:32:50,Spa,Swedish Massage,Serenity Spa,3,159,477,85.86,562.86,Posted,SPARES0130,System,
TXN00000050,G100065,6871,2026-01-07,10:38:24,Beverage,Craft Beer,Sports Bar,3,9,27,4.86,31.86,Posted,,System,
TXN00000171,G100068,7133,2026-01-07,21:17:02,Beverage,Premium Wine - Glass,Wine Bar,1,18,18,3.24,21.24,Posted,,System,
TXN00000200,G100007,5388,2026-01-07,22:11:35,Shopping,Perfume,Duty Free,1,79,79,0,79,Posted,,System,
TXN00000136,G100066,5323,2026-01-08,08:57:32,Entertainment,Photo Package,Photo Studio,2,149,298,0,298,Posted,,System,
TXN00000061,G100161,5204,2026-01-08,09:03:15,Communication,WiFi - Streaming Day,Guest Services,2,25,50,0,50,Posted,,System,
TXN00000097,G100024,5991,2026-01-08,10:06:03,Communication,WiFi - Social Day,Guest Services,1,15,15,0,15,Posted,,System,
TXN00000089,G100149,6383,2026-01-08,11:20:59,Shopping,Sunscreen SPF 50,Sundries,1,14.99,14.99,0,14.99,Posted,,System,
TXN00000006,G100102,5931,2026-01-08,12:41:40,Gratuity,Daily Gratuity,Auto-Charge,4,18,72,0,72,Posted,,System,4 guests
TXN00000132,G100070,4152,2026-01-08,13:14:08,Communication,WiFi - Social Day,Guest Services,3,15,45,0,45,Posted,,System,
TXN00000028,G100074,4806,2026-01-08,15:43:43,Spa,Facial Treatment,Serenity Spa,1,199,199,35.82,234.82,Posted,SPARES0152,System,
TXN00000197,G100121,4161,2026-01-08,16:29:50,Shopping,Sunscreen SPF 50,Sundries,2,14.99,29.98,0,29.98,Posted,,System,
TXN00000011,G100145,4859,2026-01-08,17:32:37,Dining,Specialty Dining Cover,Ocean Blue,2,59,118,21.24,139.24,Posted,DRES000056,System,
TXN00000104,G100084,5943,2026-01-08,17:50:21,Shopping,Logo T-Shirt,Gift Shop,2,34.99,69.98,0,69.98,Posted,,System,
TXN00000215,G100042,6622,2026-01-08,17:55:45,Entertainment,Casino Credits,Casino,3,100,300,0,300,Posted,,System,
TXN00000022,G100194,8639,2026-01-08,19:54:35,Communication,WiFi - Streaming Voyage,Guest Services,1,149,149,0,149,Posted,,System,
TXN00000081,G100080,4331,2026-01-08,20:13:39,Communication,WiFi - Social Day,Guest Services,3,15,45,0,45,Posted,,System,
TXN00000135,G100043,8761,2026-01-08,23:09:10,Beverage,Premium Wine - Glass,Wine Bar,3,18,54,9.72,63.72,Posted,,System,
TXN00000019,G100156,4676,2026-01-09,09:26:22,Beverage,Craft Beer,Sports Bar,3,9,27,4.86,31.86,Posted,,System,
TXN00000059,G100036,8920,2026-01-09,10:48:45,Beverage,Premium Wine - Bottle,Wine Bar,2,65,130,23.4,153.4,Posted,,System,
TXN00000067,G100025,5871,2026-01-09,16:52:41,Beverage,Craft Beer,Sports Bar,3,9,27,4.86,31.86,Posted,,System,
TXN00000219,G100118,5623,2026-01-09,16:53:15,Entertainment,Casino Credits,Casino,3,100,300,0,300,Posted,,System,
TXN00000048,G100065,6871,2026-01-09,17:01:23,Dining,Specialty Dining Cover,Ocean Blue,3,59,177,31.86,208.86,Posted,DRES000159,System,
TXN00000085,G100113,8936,2026-01-09,17:35:36,Entertainment,Art Auction Piece,Art Gallery,1,350,350,0,350,Posted,,System,
TXN00000102,G100076,8982,2026-01-09,18:23:02,Communication,WiFi - Streaming Voyage,Guest Services,2,149,298,0,298,Posted,,System,
TXN00000088,G100149,6383,2026-01-09,19:32:58,Shopping,Ship Model,Gift Shop,1,49.99,49.99,0,49.99,Posted,,System,
TXN00000121,G100139,4897,2026-01-09,21:30:41,Beverage,Cocktail - Pina Colada,Pool Bar,2,14,28,5.04,33.04,Posted,,System,
TXN00000142,G100164,5316,2026-01-09,23:25:33,Spa,Swedish Massage,Serenity Spa,1,159,159,28.62,187.62,Posted,SPARES0033,System,
TXN00000117,G100173,8992,2026-01-10,08:22:59,Communication,WiFi - Streaming Day,Guest Services,2,25,50,0,50,Posted,,System,
TXN00000207,G100114,8873,2026-01-10,10:36:24,Excursion,Shore Excursion Premium,Shore Excursions,3,149,447,0,447,Posted,EXCBK00109,System,
TXN00000046,G100159,5380,2026-01-10,10:58:22,Spa,Swedish Massage,Serenity Spa,3,159,477,85.86,562.86,Posted,SPARES0080,System,
TXN00000063,G100161,5204,2026-01-10,17:15:36,Communication,WiFi - Social Day,Guest Services,1,15,15,0,15,Posted,,System,
TXN00000159,G100199,7960,2026-01-10,19:18:09,Beverage,Premium Wine - Bottle,Wine Bar,3,65,195,35.1,230.1,Posted,,System,
TXN00000191,G100028,4518,2026-01-10,20:38:30,Excursion,Shore Excursion Premium,Shore Excursions,1,149,149,0,149,Posted,EXCBK00150,System,
TXN00000038,G100057,7240,2026-01-10,21:29:48,Dining,Specialty Dining Cover,Teppanyaki,3,55,165,29.7,194.7,Posted,DRES000289,System,
TXN00000167,G100004,7494,2026-01-10,22:16:52,Entertainment,Casino Credits,Casino,3,100,300,0,300,Posted,,System,
TXN00000056,G100200,8848,2026-01-11,10:53:27,Communication,WiFi - Social Day,Guest Services,3,15,45,0,45,Posted,,System,
TXN00000216,G100118,5623,2026-01-11,12:51:03,Shopping,Ship Model,Gift Shop,1,49.99,49.99,0,49.99,Posted,,System,
TXN00000110,G100045,4907,2026-01-11,13:02:36,Excursion,Shore Excursion,Shore Excursions,3,89,267,0,267,Posted,EXCBK00180,System,
TXN00000182,G100138,6699,2026-01-11,14:19:17,Excursion,Shore Excursion,Shore Excursions,1,89,89,0,89,Posted,EXCBK00127,System,
TXN00000183,G100138,6699,2026-01-11,15:30:50,Excursion,Shore Excursion Premium,Shore Excursions,2,149,298,0,298,Posted,EXCBK00020,System,
TXN00000051,G100174,8754,2026-01-11,19:23:43,Gratuity,Daily Gratuity,Auto-Charge,4,18,72,0,72,Posted,,System,4 guests
TXN00000075,G100166,5851,2026-01-11,20:02:46,Gratuity,Daily Gratuity,Auto-Charge,2,18,36,0,36,Posted,,System,2 guests
TXN00000099,G100024,5991,2026-01-11,21:56:19,Gratuity,Daily Gratuity,Auto-Charge,1,18,18,0,18,Posted,,System,1 guests
TXN00000084,G100113,8936,2026-01-11,22:14:07,Shopping,Ship Model,Gift Shop,2,49.99,99.98,0,99.98,Posted,,System,
TXN00000208,G100114,8873,2026-01-12,10:11:20,Shopping,Designer Watch,Luxury Boutique,2,299,598,0,598,Posted,,System,
TXN00000124,G100167,6513,2026-01-12,15:36:38,Communication,WiFi - Streaming Day,Guest Services,1,25,25,0,25,Posted,,System,
TXN00000103,G100076,8982,2026-01-13,08:24:32,Spa,Mani-Pedi Combo,Serenity Spa,2,99,198,35.64,233.64,Posted,SPARES0116,System,
TXN00000082,G100113,8936,2026-01-13,20:11:57,Dining,Specialty Dining Cover,Teppanyaki,1,55,55,9.9,64.9,Posted,DRES000366,System,
TXN00000126,G100136,7877,2026-01-13,20:41:16,Dining,Specialty Dining Cover,Le Bistro,1,49,49,8.82,57.82,Posted,DRES000368,System,
TXN00000053,G100200,8848,2026-01-13,20:49:18,Spa,Mani-Pedi Combo,Serenity Spa,2,99,198,35.64,233.64,Posted,SPARES0200,System,
TXN00000093,G100094,6904,2026-01-14,06:31:56,Excursion,Shore Excursion Group,Shore Excursions,3,69,207,0,207,Posted,EXCBK00161,System,
TXN00000203,G100171,5320,2026-01-14,09:51:55,Communication,WiFi - Streaming Voyage,Guest Services,1,149,149,0,149,Posted,,System,
TXN00000049,G100065,6871,2026-01-14,13:08:09,Spa,Facial Treatment,Serenity Spa,1,199,199,35.82,234.82,Posted,SPARES0020,System,
TXN00000021,G100156,4676,2026-01-14,13:54:06,Shopping,Perfume,Duty Free,2,79,158,0,158,Posted,,System,
TXN00000030,G100059,4545,2026-01-14,15:20:07,Shopping,Ship Model,Gift Shop,2,49.99,99.98,0,99.98,Pending,,System,
TXN00000139,G100066,5323,2026-01-14,17:44:04,Dining,Specialty Dining Cover,The Steakhouse,2,65,130,23.4,153.4,Posted,DRES000278,System,
TXN00000134,G100070,4152,2026-01-14,22:28:33,Entertainment,Photo Package,Photo Studio,1,149,149,0,149,Posted,,System,
TXN00000008,G100003,5284,2026-01-15,06:17:54,Spa,Deep Tissue Massage,Serenity Spa,3,189,567,102.06,669.06,Posted,SPARES0038,System,
TXN00000120,G100139,4897,2026-01-15,16:45:30,Beverage,Cocktail - Mojito,Pool Bar,2,14,28,5.04,33.04,Posted,,System,
TXN00000195,G100060,8721,2026-01-15,18:29:49,Gratuity,Daily Gratuity,Auto-Charge,4,18,72,0,72,Posted,,System,4 guests
TXN00000175,G100117,4672,2026-01-15,18:49:20,Dining,Specialty Dining Cover,Le Bistro,3,49,147,26.46,173.46,Posted,DRES000016,System,
TXN00000143,G100164,5316,2026-01-15,20:43:46,Beverage,Cocktail - Margarita,Pool Bar,2,14,28,5.04,33.04,Posted,,System,
TXN00000160,G100199,7960,2026-01-15,21:35:41,Excursion,Shore Excursion Group,Shore Excursions,1,69,69,0,69,Posted,EXCBK00176,System,
TXN00000036,G100057,7240,2026-01-15,22:40:07,Spa,Deep Tissue Massage,Serenity Spa,1,189,189,34.02,223.02,Posted,SPARES0136,System,
TXN00000129,G100129,5149,2026-01-16,13:28:48,Beverage,Premium Wine - Bottle,Wine Bar,2,65,130,23.4,153.4,Posted,,System,
TXN00000131,G100129,5149,2026-01-16,15:10:25,Beverage,Cocktail - Mojito,Pool Bar,2,14,28,5.04,33.04,Posted,,System,
TXN00000156,G100058,7928,2026-01-16,23:20:49,Entertainment,Art Auction Piece,Art Gallery,1,350,350,0,350,Posted,,System,
TXN00000009,G100003,5284,2026-01-17,06:08:00,Shopping,Logo T-Shirt,Gift Shop,3,34.99,104.97,0,104.97,Posted,,System,
